,artist_names,id,active_start_years
0,Elmore James,176936,1930
1,Little Walter,824599,1940
2,T-Bone Walker,3829,1930
3,The Paul Butterfield Blues Band,16835,1960
4,Big Joe Williams,60679,1930
5,John Lee Hooker,815039,1940
6,Lightnin' Hopkins,825208,1930
7,Etta James,806542,1950
8,Amos Milburn,748773,1940
9,Sonny Landreth,44994,1970
10,Tab Benoit,11608,1990
11,"Clarence ""Gatemouth"" Brown",129547,1940
12,Professor Longhair,369270,1930
13,Albert Collins,611102,1950
14,Albert King,617844,1950
15,Buddy Guy,942529,1950
16,Roy Buchanan,341137,1950
17,John Mayall,238495,1950
18,Lowell Fulson,301955,1940
19,Muddy Waters,608701,1940
20,James Cotton,131841,1950
21,Delbert McClinton,815236,1970
22,Slim Harpo,28166,1950
23,B.B. King,59156,1940
24,Jimmy Reed,76881,1940
25,Howlin' Wolf,276085,1930
26,"Bobby ""Blue"" Bland",81194,1950
27,Jimmy Witherspoon,100854,1940
28,Rory Gallagher,337631,1960
29,Ted Hawkins,23982,1980
30,Magic Sam,191429,1950
31,Jimmy Rogers,769616,1950
32,Willie Dixon,959770,1940
33,Son Seals,32807,1960
34,Earl Hooker,150062,1950
35,"Johnny ""Guitar"" Watson",242511,1950
36,Big Mama Thornton,762288,1940
37,Blind Boy Fuller,49806,1930
38,Sonny Terry,39661,1940
39,Big Walter Horton,64817,1930
40,Sonny Boy Williamson I,1006782,1930
41,Johnny Otis,819894,1940
42,Susan Tedeschi,43520,1990
43,Koko Taylor,376739,1960
44,Robert Cray,830425,1970
45,Junior Wells,962064,1950
46,J.B. Lenoir,115733,1950
47,Otis Rush,894956,1950
48,Bukka White,527379,1930
49,Otis Spann,486775,1950
50,Guitar Slim,654490,1950
51,Big Maybelle,66228,1930
52,Long John Baldry,827367,1950
53,Mississippi Sheiks,898336,1930
54,Johnny Winter,819983,1960
55,Junior Parker,486305,1950
56,Brownie McGhee,630882,1940
57,Freddie King,186734,1950
58,James Booker,135378,1950
59,A.C. Reed,491996,1960
60,Son House,753094,1930
61,Mississippi Fred McDowell,898331,1950
62,Hubert Sumlin,829643,1950
63,Joe Hill Louis,115079,1940
64,Joe Bonamassa,118243,1980
65,Taj Mahal,790604,1960
66,Chris Thomas King,122738,1980
67,Johnny Jenkins,239638,1950
68,R.L. Burnside,389213,1960
69,Champion Jack Dupree,197040,1940
70,Joe Liggins,138837,1940
71,Little Milton,300534,1950
72,Johnny Shines,204714,1930
73,John Mayall & the Bluesbreakers,238506,1960
74,Luther Allison,169856,1960
75,Jimmy Dawkins,352524,1960
76,Keb' Mo',370703,1980
77,Junior Kimbrough,306446,1950
78,Lou Ann Barton,210142,1970
79,Hound Dog Taylor,225754,1950
80,"Johnny ""Big Moose"" Walker",240009,1970
81,Johnny Adams,242473,1950
82,Pee Wee Crayton,251210,1930
83,Lonnie Mack,274822,1950
84,Denise LaSalle,199090,1960
85,Marvin Sease,312062,1960
86,Jimmy Yancey,783025,1930
87,Nappy Brown,376888,1950
88,Otis Taylor,413683,1970
89,Big Jay McNeely,52736,1940
90,Memphis Slim,421122,1930
91,Sunnyland Slim,490769,1940
92,Willie Johnson,584695,1940
93,Buster Brown,641111,1950
94,William Clarke,678459,1970
95,Z.Z. Hill,689965,1960
96,Snooks Eaglin,753570,1950
97,Roy Rogers,774909,1970
98,Doctor Ross,794419,1950
99,Eddie Shaw,795387,1960
100,"Luther ""Guitar Junior"" Johnson",806523,1950
