,artist_names,id,active_start_years
0,Olivier Messiaen,1528006,1930
1,GyÃ¶rgy KurtÃ¡g,1589,1960
2,John Cage,183867,1930
3,Leonard Bernstein,239859,1940
4,Trans-Siberian Orchestra,14757,1990
5,Steve Reich,37658,1960
6,Philip Glass,849672,1960
7,AndrÃ© Previn,30250,1940
8,Charlotte Church,51603,1990
9,Luciano Pavarotti,579458,1960
10,Cecilia Bartoli,641626,1980
11,Andrea Bocelli,751613,1990
12,Eileen Farrell,179714,1950
13,Max Richter,203592,1990
14,Arvo PÃ¤rt,929776,1950
15,JosÃ© Carreras,51740,1970
16,PlÃ¡cido Domingo,851639,1960
17,Glenn Gould,803752,1940
18,John Adams,757335,1960
19,Maria Callas,740576,1940
20,Wolfgang Amadeus Mozart,26350,2010
21,Giuseppe di Stefano,731975,1940
22,Julian Bream,151666,1950
23,Bidu SayÃ£o,1950198,1930
24,Kronos Quartet,775212,1970
25,Pierre Boulez,795288,1940
26,Dawn Upshaw,816267,1980
27,Louis and Bebe Barron,1352264,1950
