,artist_names,id,active_start_years
0,Spinal Tap,12654,1980
1,Allan Sherman,2273,1960
2,Victor Borge,203804,1950
3,Spike Jones,744548,1930
4,Cheech & Chong,106298,1970
5,Tom Lehrer,611877,1940
6,Jerry Lewis,278559,1930
7,Steve Martin,43444,1960
8,Richard Pryor,295415,1960
9,Monty Python,492670,1960
10,George Carlin,639005,1960
11,The Smothers Brothers,899198,1960
12,Steven Wright,47246,1980
13,Bob Newhart,67561,1950
14,Jack Kerouac,120487,1950
15,Dick Gregory,211197,1960
16,Bill Cosby,70534,1960
17,Mel Brooks,342833,1950
18,Jonathan Winters,824219,1950
19,Bebe Neuwirth,792051,1990
20,Eddie Murphy,142208,1980
21,Robin Williams,287860,1970
22,Jeff Foxworthy,225690,1990
23,Robert Klein,245133,1960
24,Rodney Dangerfield,245292,1960
25,Howard Stern,230105,1980
26,Sam Kinison,287092,1980
27,Denis Leary,238245,1990
28,Jello Biafra,322642,1970
29,Rudy Ray Moore,364861,1960
30,Mike Birbiglia,404529,2000
31,Adam Sandler,500612,1980
32,Brian Regan,615937,1980
33,Mitch Hedberg,898946,1990
34,Flight of the Conchords,513813,1990
35,Tiny Tim,603980,1960
36,David Cross,644216,1990
37,Cassius Clay,802264,1960
38,Dane Cook,674417,1990
39,Andrew Dice Clay,752150,1980
40,Whoopi Goldberg,820780,1990
41,Ron White,833610,2000
42,Christian Finnegan,914671,2000
43,George Lopez,945687,1990
44,The Lonely Island,1036613,2000
45,Daniel Tosh,1453090,2000
