,artist_names,id,active_start_years
0,Sam Bush,286662,1960
1,Tanya Tucker,13384,1970
2,Pam Tillis,1433,1980
3,Patty Loveless,19241,1970
4,Bobbie Gentry,65397,1960
5,The Judds,86312,1980
6,Connie Smith,99753,1960
7,Tammy Wynette,136640,1960
8,Dolly Parton,175286,1950
9,Janie Fricke,210512,1970
10,Loretta Lynn,234325,1960
11,Ray Price,409954,1940
12,Skeeter Davis,749175,1950
13,Lynn Anderson,804289,1960
14,Johnny Cash,816890,1950
15,Vassar Clements,245039,1950
16,Alison Krauss & Union Station,7031,1980
17,Ralph Stanley,389979,1940
18,J.D. Crowe & the New South,778568,1970
19,Ronnie Milsap,334740,1960
20,T. Graham Brown,7974,1980
21,SHeDAISY,9437,1980
22,Jo Dee Messina,133057,1990
23,Shania Twain,161808,1990
24,Faith Hill,162269,1990
25,Dixie Chicks,162487,1980
26,Deana Carter,227088,1990
27,Lorrie Morgan,286115,1970
28,McBride & the Ride,340446,1980
29,Martina McBride,368112,1990
30,Mindy McCready,495861,1990
31,Trisha Yearwood,749476,1990
32,Terri Clark,750131,1990
33,Mary Chapin Carpenter,858375,1980
34,Travis Tritt,15318,1980
35,Tracy Byrd,11052,1990
36,Keith Whitley,81561,1970
37,Ricky Van Shelton,207127,1980
38,Vince Gill,214162,1970
39,Johnny Paycheck,251375,1950
40,Sammy Kershaw,300749,1990
41,Randy Travis,396676,1970
42,Brooks & Dunn,522768,1990
43,Alan Jackson,605375,1990
44,Clint Black,792370,1980
45,Garth Brooks,798248,1980
46,George Strait,944084,1970
47,Ferlin Husky,169536,1950
48,Sheb Wooley,11242,1940
49,Anne Murray,490549,1960
50,"Hank Williams, Jr.",117844,1950
51,Trace Adkins,12180,1990
52,Waylon Jennings,200791,1950
53,Ricky Skaggs,320761,1970
54,Merle Haggard,410219,1960
55,Mickey Gilley,471156,1960
56,Daryle Singletary,573100,1990
57,Dwight Yoakam,791483,1970
58,Patsy Cline,14651,1950
59,David Allan Coe,629609,1960
60,Glen Campbell,664378,1950
61,Melba Montgomery,868456,1960
62,Brenda Lee,934069,1950
63,George Jones,944310,1950
64,Rosanne Cash,285272,1970
65,Kris Kristofferson,774588,1960
66,Kitty Wells,98189,1940
67,The Maddox Brothers & Rose,193160,1930
68,Red Foley,380704,1940
69,Hank Williams,549797,1930
70,Eddy Arnold,796741,1940
71,Roy Acuff,848784,1930
72,Kenny Rogers,69986,1950
73,Billy Joe Shaver,72205,1960
74,Emmylou Harris,159699,1960
75,Rodney Crowell,294085,1970
76,David Frizzell,637150,1970
77,Charlie Daniels,806247,1950
78,Crystal Gayle,132449,1970
79,Jeannie C. Riley,232701,1960
80,Kathy Mattea,362437,1970
81,Reba McEntire,409968,1970
82,Juice Newton,837946,1970
83,June Carter Cash,838300,1950
84,Dillard & Clark,823012,1960
85,Bob Wills,74970,1930
86,Tennessee Ernie Ford,20403,1940
87,Merle Travis,246022,1930
88,Shelby Lynne,20760,1980
89,Billy Joe Royal,85410,1950
90,Carlene Carter,142050,1970
91,Nanci Griffith,307875,1970
92,Trick Pony,21008,1990
93,Lonestar,281254,1990
94,Restless Heart,393789,1980
95,Toby Keith,510805,1990
96,Willie Nelson,583959,1950
97,Tim McGraw,592954,1990
98,Highway 101,681171,1980
99,Joe Diffie,787960,1980
100,Alabama,936206,1970
101,Buck Owens,941579,1940
102,Shenandoah,21292,1980
103,The Oak Ridge Boys,887348,1940
104,Hoyt Axton,278575,1960
105,Dottie West,190632,1950
106,Shelly West,23411,1980
107,Terry Allen,26510,1970
108,Gary Stewart,185615,1960
109,Slim Whitman,29334,1940
110,Roy Rogers,353145,1930
111,Iris DeMent,82742,1990
112,Tex Williams,32193,1940
113,Jerry Jeff Walker,845468,1960
114,Kenny Chesney,68551,1990
115,Andy Griggs,33481,1990
116,Mark Chesnutt,283405,1980
117,Billy Dean,767370,1980
118,Montgomery Gentry,926108,1990
119,Steve Earle,34249,1980
120,Joe Ely,152002,1970
121,John Anderson,218994,1970
122,Jessi Colter,337271,1960
123,Tom T. Hall,515628,1960
124,Guy Clark,543867,1970
125,Hank Snow,662800,1930
126,Shooter Jennings,36312,2000
127,Marty Robbins,858710,1940
128,Sonny James,36849,1950
129,Jim Reeves,903609,1930
130,The Bellamy Brothers,37026,1960
131,The Statler Brothers,578031,1950
132,Lefty Frizzell,190946,1950
133,Steve Wariner,44751,1970
134,Chet Atkins,94205,1940
135,Charley Pride,165818,1960
136,Don Williams,196248,1960
137,Bill Monroe,81083,1940
138,The Louvin Brothers,45057,1940
139,David Grisman,809396,1970
140,Beth Nielsen Chapman,46626,1990
141,The Jordanaires,87113,1940
142,Jim & Jesse,334829,1940
143,The Stanley Brothers,577720,1940
144,Keith Urban,81619,1990
145,Blake Shelton,46814,1990
146,Gary Allan,659299,1990
147,Earl Thomas Conley,789721,1970
148,Vern Gosdin,842269,1960
149,The Lost Trailers,50967,2000
150,The Charlie Daniels Band,207644,1970
151,Bleu Edmondson,57577,2000
152,B.J. Thomas,57840,1960
153,Charlie Rich,179730,1950
154,Bill Anderson,57923,1950
155,Charlie Louvin,807489,1950
156,Bill Evans,61912,1990
157,Ian Tyson,764890,1960
158,Jimmy Martin,64199,1940
159,Flatt & Scruggs,227527,1940
160,Bobby Bare,66429,1950
