,artist_names,id,active_start_years
0,Sergio Mendes,2330,1960
1,Les Baxter,249175,1940
2,Liberace,822777,1940
3,Herb Alpert,674332,1950
4,Percy Faith,305541,1950
5,Paul Mauriat,22574,1960
6,Martin Denny,311074,1950
7,Arthur Lyman,607028,1940
8,Henry Mancini,678009,1940
9,Nelson Riddle,322027,1940
10,Eden Ahbez,53441,1940
11,Ferrante & Teicher,170214,1950
12,Yma Sumac,685751,1950
13,Chantal Kreviazuk,199917,1990
14,Jackie Gleason,781399,1950
15,Mitch Miller,577261,1940
16,Ray Conniff,869487,1930
17,Mason Williams,955647,1950
18,Gheorghe Zamfir,694325,1970
19,Bert Kaempfert,748088,1930
20,Andr̩ Kostelanetz,754767,1930
21,Herb Alpert & the Tijuana Brass,955773,1960
22,The Piano Guys,2895189,2010
