,artist_names,id,active_start_years
0,Tricky,25462,1990
1,Massive Attack,378288,1980
2,Speedy,1611,2000
3,Tangerine Dream,2411,1960
4,Paul Oakenfold,749222,1980
5,Robert Miles,6232,1980
6,Paul van Dyk,752945,1990
7,M People,177454,1990
8,Edgar Froese,147638,1960
9,Vangelis,840000,1960
10,Enigma,150048,1990
11,Alpha,16574,1990
12,Amber,20919,1990
13,The KLF,74853,1980
14,Stereo MC's,23202,1980
15,808 State,921306,1980
16,Amon Tobin,24329,1990
17,Kraftwerk,104714,1970
18,Shep Pettibone,25857,1980
19,Technotronic,25899,1980
20,Neu!,387815,1970
21,Air,607202,1990
22,Smoke City,31823,1990
23,Cluster,129430,1970
24,Popol Vuh,853926,1970
25,Moby,477116,1980
26,Groove Armada,942335,1990
27,The Avalanches,43572,2000
28,DJ Shadow,949820,1990
29,Soulwax,48806,1990
30,Yellow Magic Orchestra,683750,1970
31,Susumu Yokota,49163,1980
32,Thievery Corporation,586798,1990
33,Bent,51230,2000
34,Blue States,56193,1990
35,The Flying Lizards,57636,1970
36,Death in Vegas,812802,1990
37,The Chemical Brothers,67631,1990
38,M/A/R/R/S,1608941,1980
39,Ikon,72861,1990
40,Bob Sinclar,75329,1990
41,Peaches,752770,1990
42,Biosphere,81248,1990
43,The Orb,891575,1980
44,Todd Terry,518313,1980
45,Black Box,90124,1980
46,Todd Edwards,611007,1990
47,Bonobo,95176,1990
48,Larry Heard,782191,1980
49,LFO,101164,1990
50,Tool,1340026,1990
51,Kruder & Dorfmeister,107227,1990
52,Orbital,481354,1980
53,Aphex Twin,493848,1990
54,William Orbit,584257,1980
55,Boards of Canada,758999,1990
56,Daft Punk,667669,1990
57,Marc Almond,570046,1980
58,Goldie,672498,1990
59,Laidback Luke,124248,1990
60,Lamb,127301,1990
61,Fatboy Slim,133719,1980
62,The Crystal Method,136124,1990
63,Frankie Knuckles,793821,1970
64,Yello,683795,1970
65,Basement Jaxx,142249,1990
66,Inner City,91122,1980
67,Junior Vasquez,253232,1980
68,The Prodigy,492162,1990
69,The Future Sound of London,799348,1990
70,Underworld,807949,1980
71,Nightmares on Wax,869417,1980
72,Cybotron,146551,1980
73,Squarepusher,158849,1990
74,A Guy Called Gerald,919598,1980
75,Gas,158888,1990
76,Felix da Housecat,169239,1990
77,Fischerspooner,178051,1990
78,Cassius,193444,1990
79,Seefeel,621959,1990
80,Tycho,205959,2000
81,Zero 7,696668,1990
82,Casino Versus Japan,801615,1990
83,Dub Pistols,207360,2000
84,David Guetta,213561,1990
85,David Morales,216986,1990
86,Roger Sanchez,302774,1990
87,Utah Saints,304102,1990
88,Vitalic,220024,1990
89,UNKLE,221803,1990
90,Kid Koala,769109,1990
91,Lemon Jelly,241650,1990
92,White Town,250798,1980
93,People Like Us,251437,1990
94,Scooter,253076,1990
95,Various Artists,258947,1990
96,RÃ¶yksopp,293969,1990
97,Junkie XL,306851,1980
98,Quantic,314923,2000
99,Morcheeba,597736,1990
100,The Streets,918569,1990
101,Autechre,759998,1990
102,Ryuichi Sakamoto,587608,1970
103,Propellerheads,363327,1990
104,M.I.A.,388773,2000
105,Marconi Union,419197,2000
106,Messiah,450786,1990
107,The Rapture,487038,1990
108,Nuyorican Soul,463663,1990
109,The Shamen,496370,1980
110,Hula,1518379,1980
111,Moloko,487614,1990
112,Mr. Fingers,606043,1980
113,Mirwais,499745,1990
114,Mr. Scruff,518937,1990
115,The Bucketheads,524634,1990
116,Armin van Buuren,502989,1990
117,TiÃ«sto,591459,1990
118,Man Parrish,566984,1980
119,Adamski,601421,1980
120,Moodymann,587631,1990
121,Crookers,588145,2000
122,Armand Van Helden,928160,1990
123,Mother Earth,600386,1980
124,Aim,604090,1990
125,MK,812101,1990
126,Timmy Regisford,1536402,1980
127,Shiny Toy Guns,638632,2000
128,Burial,643682,2000
129,Justice,648106,2000
130,Patrick Cowley,11970,1970
131,Hercules & Love Affair,657062,2000
132,Girl Talk,660155,2000
133,Cascada,666073,2000
134,Jean-Jacques Perrey,189641,1960
135,Flying Lotus,717419,2000
136,Four Tet,741236,1990
137,Crystal Castles,724598,2000
138,TÃ©lÃ©popmusik,747561,1990
139,Freestyle,196370,1980
140,Kid Loco,768241,1990
141,Koop,776406,2000
142,La Bouche,777366,1990
143,Ladytron,780948,1990
144,Dirty Vegas,789754,2000
145,Diplo,793225,2000
146,Fila Brazillia,147481,1990
147,Faithless,793848,1990
148,JÃ³hann JÃ³hannsson,807294,1990
149,Jamie Principle,808155,1980
150,MÃºm,811395,1990
151,Lo Fidelity Allstars,827859,1990
152,Ruby,853254,1990
153,Kaskade,854866,2000
154,TrentemÃ¸ller,17060,1990
155,Deadmau5,879144,2000
156,Tim Hecker,930651,1990
157,Broadcast,937150,1990
158,Calvin Harris,945951,1990
159,Tommy Trash,983872,2000
160,Kodomo,992260,2000
161,Little Dragon,992751,2000
162,Bingo Players,999790,2000
163,Bag Raiders,1011315,2000
164,Cash Cash,1035160,2000
165,ATB,923063,1990
166,Nosaj Thing,1573712,2000
167,Oneohtrix Point Never,1598199,2000
168,Swedish House Mafia,1714462,2000
169,Fever Ray,2016362,2000
170,Major Lazer,2036252,2000
171,The Bloody Beetroots,2085875,2000
172,Skrillex,2365087,2000
173,Eric Prydz,184677,2000
174,Avicii,2393596,2000
175,Benny Benassi,791609,2000
176,Baths,2424501,2000
177,James Blake,2435745,2000
178,Gigi Masin,2518402,1980
179,Disclosure,2528416,2010
180,Com Truise,2532578,2000
181,A*Teens,2960510,1990
182,Feed Me,2640328,2000
183,Mndsgn,2649123,2000
184,Pham,2729330,2010
185,Lorn,2450537,2000
186,Zedd,2782403,2010
187,Steve Angello,572508,2000
188,3LAU,2802487,2010
189,Romare,2877945,2010
190,Destructo,2899881,1990
191,Baauer,3020237,2010
192,Flosstradamus,2063135,2000
193,Timeflies,3044549,2010
194,Cashmere Cat,3068662,2000
195,Hudson Mohawke,1717415,2000
196,Zara Larsson,3105903,2010
197,Moti,3224219,2010
198,Troye Sivan,3271457,2000
199,Kaytranada,3306945,2010
200,Karen Harding,3308665,2010
201,Kygo,3314964,2010
202,Fat Freddy's Drop,178301,2000
203,Cheat Codes,3391646,2010
204,Nicky Romero,2412330,2000
205,Petit Biscuit,3413218,2010
206,EDEN,3523590,2010
207,Mika,3661296,2010
