,artist_names,id,active_start_years
0,Theodore Bikel,588679,1950
1,The New Christy Minstrels,328352,1960
2,Gordon Lightfoot,667794,1950
3,Stan Rogers,13377,1970
4,Tom Paxton,934721,1960
5,Judy Collins,294923,1950
6,The Roches,791120,1970
7,Kate & Anna McGarrigle,855405,1970
8,Spirit of the West,14201,1980
9,Richie Havens,295545,1960
10,Buffy Sainte-Marie,626268,1950
11,Odetta,888730,1940
12,Hazel Dickens,671156,1950
13,The Lovin' Spoonful,52900,1960
14,"Peter, Paul and Mary",274321,1960
15,Shel Silverstein,20319,1960
16,Bert Jansch,756656,1960
17,Dave Van Ronk,528221,1950
18,Arlo Guthrie,927736,1960
19,Shirley Collins,24568,1950
20,Alan Lomax,607804,1930
21,Ramblin' Jack Elliott,391398,1950
22,Townes Van Zandt,744796,1960
23,Pete Seeger,266160,1930
24,The New Lost City Ramblers,330967,1950
25,Michael Hurley,394449,1960
26,Jackson C. Frank,130115,1960
27,Fred Neil,170815,1960
28,Jean Ritchie,231645,1940
29,Phil Ochs,333634,1960
30,Steve Goodman,32366,1960
31,Tom Rush,517264,1960
32,Woody Guthrie,577531,1930
33,Robert Earl Keen,286561,1980
34,Victor Jara,171693,1950
35,Davy Graham,814036,1960
36,The Kingston Trio,102050,1950
37,The Incredible String Band,99561,1960
38,Sandy Denny,245019,1960
39,Malvina Reynolds,669015,1960
40,Doc Watson,169202,1940
41,Leo Kottke,45077,1960
42,John Renbourn,192925,1960
43,John Fahey,223054,1950
44,Burl Ives,536754,1930
45,Joan Baez,69153,1950
46,John Gorka,227487,1980
47,Greg Brown,800426,1980
48,John Martyn,196969,1960
49,Loreena McKennitt,829267,1980
50,Pentangle,838559,1960
51,Mike Seeger,487271,1950
52,Cisco Houston,112540,1940
53,Ewan MacColl,154533,1940
54,Roscoe Holcomb,342768,1950
55,Elizabeth Cotten,796950,1950
56,John Jacob Niles,813092,1930
57,Peggy Seeger,837150,1950
58,Ian & Sylvia,74134,1950
59,The Limeliters,93533,1950
60,Vashti Bunyan,99104,1960
61,Kate Wolf,855356,1970
62,Cheryl Wheeler,108774,1980
63,Karen Dalton,299882,1960
64,Lucinda Williams,837215,1970
65,Carolyn Hester,149166,1950
66,Loudon Wainwright III,282766,1970
67,June Tabor,838414,1970
68,Fred Eaglesmith,179105,1990
69,Judy Henske,249420,1960
70,Dougie MacLean,199194,1970
71,Linda Perhacs,296815,1970
72,Ralph McTell,863774,1960
73,David Wilcox,230111,1980
74,Gillian Welch,551465,1990
75,Jeffrey Lewis,263995,2000
76,Pete Steele,322279,1930
77,Martin Sexton,307913,1990
78,Charlie Parr,317129,2000
79,Oscar Brand,894664,1940
80,Dar Williams,677352,1990
81,Steeleye Span,746068,1970
82,Tom Russell,515156,1970
83,Cousin Emmy,782631,1940
84,Damien Rice,667584,1990
85,David Bromberg,638603,1960
86,Michael Chapman,451183,1960
87,Joel Rafael,689836,1970
88,Slaid Cleaves,748933,1990
89,Chris Thile,779146,1990
90,Lori McKenna,830890,1990
91,Nic Jones,332641,1960
92,John Stewart,812480,1960
93,The Brothers Four,937703,1950
94,The Easy Riders,146088,1950
