,artist_names,id,active_start_years
0,JoÃ£o Gilberto,785283,1950
1,Ravi Shankar,404463,1930
2,Ali Farka TourÃ©,6613,1970
3,The Clancy Brothers,781094,1950
4,Christy Moore,97182,1960
5,Tommy Makem,936946,1950
6,Tom ZÃ©,932858,1960
7,Terrance Simien,26161,1990
8,Os Mutantes,488378,1960
9,Ladysmith Black Mambazo,105618,1970
10,Fela Kuti,138833,1960
11,Miriam Makeba,496097,1960
12,Youssou N'Dour,692100,1970
13,King Sunny Ade,771297,1960
14,Maria BethÃ¢nia,573410,1960
15,Gilberto Gil,652255,1960
16,Hamza el Din,556242,1960
17,Mike Marshall,45745,1980
18,Elis Regina,797056,1960
19,Baaba Maal,61273,1980
20,Orchestra Baobab,891907,1980
21,SeÃ¡n Ã“ Riada,310789,1950
22,The Chieftains,67406,1960
23,The Dubliners,143494,1960
24,The Irish Rovers,69761,1960
25,Maddy Prior,236287,1970
26,Mighty Sparrow,477523,1950
27,Lord Kitchener,828768,1940
28,Alla Rakha,1266,1940
29,Ali Akbar Khan,742673,1960
30,King Radio,91852,2000
31,Chico Buarque,95613,1960
32,Kinky,96701,1990
33,IsmaÃ«l LÃ´,109669,1990
34,Oumou Sangare,493412,1980
35,Asha Bhosle,615026,1940
36,Arrow,259270,1970
37,Zakir Hussain,695019,1960
38,Nusrat Fateh Ali Khan,887719,1970
39,Babatunde Olatunji,56913,1950
40,Shankar,162794,1970
41,Gabby Pahinui,804706,1940
42,DÃ³nal Lunny,183699,1980
43,Great Big Sea,184208,1990
44,Buckwheat Zydeco,636106,1970
45,AmÃ¡lia Rodrigues,16448,1940
46,CesÃ¡ria Ã‰vora,195373,1950
47,Djivan Gasparyan,166383,1940
48,Clannad,781732,1970
49,Shadow,225944,1970
50,Planxty,852842,1970
51,Roaring Lion,230886,1930
52,Johnny Clegg,243238,1970
53,Dick Gaughan,253397,1970
54,Wayne Toups,253914,1980
55,Lord Melody,828756,1940
56,Celtic Woman,270770,2000
57,Robert Mirabal,282912,1990
58,Lucky Ali,303422,1990
59,Mary Black,313128,1980
60,Lata Mangeshkar,132940,1950
61,Kavita Krishnamurthy,367272,1980
62,Lafayette Afro Rock Band,104314,1970
63,Franco,159406,1950
64,"Pete ""El Conde"" RodrÃ­guez",1016154,1960
65,Bappi Lahiri,122037,1990
66,A.R. Rahman,577701,1980
67,Tinariwen,603621,1980
68,Toumani DiabatÃ©,744075,1990
69,Strunz & Farah,633044,1960
70,The Balfa Brothers,68898,1940
71,Sharon Shannon,744736,1980
72,Andy Irvine,753104,1960
73,Jagjit Singh,781680,1970
74,Dolores Keane,795905,1970
75,Jumbo,836737,1970
76,Rokia TraorÃ©,837328,2000
77,Mayday,866769,1990
78,Prince,1426748,2000
79,Madonna,1482685,1990
80,Mulatu Astatke,1784311,1960
