,artist_names,id,active_start_years
0,Steven Halpern,42234,1970
1,Parijat,4458,2000
2,Patrick O'Hearn,13101,1980
3,Kitaro,81017,1970
4,Mannheim Steamroller,675495,1970
5,Liz Story,826364,1980
6,Mike Oldfield,489520,1960
7,Software,32045,1980
8,Steve Roach,40501,1970
9,Suzanne Ciani,46345,1980
10,Enya,988471,1980
11,John Tesh,190012,1980
12,Ken Elkinson,74952,2000
13,Paul Winter,31441,1960
14,Deuter,245489,1970
15,Alex de Grassi,81836,1970
16,Michael Hedges,887638,1980
17,Laraaji,121584,1970
18,Jai Uttal,130922,1990
19,Cusco,143490,2000
20,Ottmar Liebert,157377,1980
21,Yanni,687933,1980
22,Jon Hassell,177588,1970
23,Penguin Cafe Orchestra,308762,1970
24,David Lanz,185440,1960
25,George Winston,945269,1970
26,Jim Brickman,333539,1990
27,Philip Aaberg,286092,1970
28,Jesse Cook,331666,1990
29,Will Ackerman,1431398,1970
30,Karunesh,359555,1980
31,Philip Wesley,375101,2000
32,Medwyn Goodall,407942,1980
33,Acoustic Alchemy,585874,2000
34,Krishna Das,774983,1990
35,Deva Premal,818576,2000
36,Mary Youngblood,862902,1990
37,Adiemus,927278,1990
