,artist_names,id,active_start_years
0,Funkadelic,187581,1960
1,Ohio Players,390390,1950
2,TLC,7689,1990
3,Total,2750,1990
4,En Vogue,160690,1990
5,Janet Jackson,208774,1970
6,Mariah Carey,262255,1980
7,R. Kelly,319347,1990
8,Mary J. Blige,376204,1990
9,Chaka Khan,802302,1960
10,Whitney Houston,820434,1980
11,Joe,101895,1990
12,Tank,3426,2000
13,Screamin' Jay Hawkins,309458,1950
14,T-Connection,4553,1970
15,Donna Summer,661524,1970
16,Syreeta,1190,1960
17,Alicia Keys,5307,1990
18,Natalie Cole,74195,1950
19,Isaac Hayes,101946,1960
20,D'Angelo,134600,1990
21,Faith Evans,164053,1990
22,Dionne Warwick,165011,1960
23,Erykah Badu,170770,1990
24,Sade,279337,1980
25,Roberta Flack,290072,1960
26,Marvin Gaye,316834,1950
27,Prince,361393,1970
28,The Sweet Inspirations,568861,1950
29,Brenda Russell,614823,1970
30,Stevie Wonder,622805,1960
31,Maxwell,866491,1990
32,Aretha Franklin,927555,1950
33,Allen Toussaint,933172,1950
34,Stephanie Mills,21334,1960
35,Alicia Myers,6568,1980
36,Deniece Williams,816701,1970
37,The Jones Girls,825168,1960
38,Ray Charles,46861,1940
39,Smokey Robinson,821571,1950
40,The Five Satins,61479,1950
41,The Delfonics,7448,1960
42,The Five Keys,64145,1950
43,The Impressions,82013,1950
44,The Drifters,118544,1950
45,Curtis Mayfield,144458,1950
46,The Dells,147200,1950
47,Gene Chandler,162820,1950
48,Jerry Butler,329468,1950
49,Brook Benton,524239,1950
50,The Platters,894335,1950
51,Pebbles,41420,1980
52,Betty Wright,59819,1950
53,Klymaxx,101953,1980
54,Labelle,118289,1970
55,The Supremes,477875,1950
56,Minnie Riperton,500889,1960
57,Atlantic Starr,509356,1970
58,The Tams,569256,1950
59,The Three Degrees,572106,1960
60,Diana Ross,594665,1960
61,Gloria Gaynor,664849,1970
62,Sister Sledge,746666,1970
63,New Edition,865016,1980
64,The Pointer Sisters,894847,1970
65,Chubby Checker,116984,1950
66,The Rivingtons,502806,1960
67,Tower of Power,13393,1960
68,Sharon Jones & the Dap-Kings,8125,2000
69,The Mar-Keys,59655,1960
70,Ike & Tina Turner,94224,1960
71,James Brown,128099,1950
72,Barbara Lynn,149973,1960
73,Carla Thomas,170454,1960
74,Fontella Bass,179764,1960
75,Otis Redding,414251,1960
76,The Memphis Horns,477377,1960
77,Candi Staton,542976,1960
78,Gladys Knight & the Pips,667169,1950
79,Steve Cropper,751738,1960
80,Irma Thomas,772526,1960
81,Lyn Collins,803242,1970
82,Otis Clay,894531,1950
83,Jody Watley,137084,1970
84,Lisa Stansfield,302106,1980
85,The Velvelettes,572499,1960
