,artist_names,id,active_start_years
0,Eek-A-Mouse,175775,1980
1,U-Roy,178014,1960
2,Pato Banton,3627,1980
3,Derrick Morgan,246768,1950
4,Jimmy Cliff,295276,1960
5,Aswad,603590,1970
6,Steel Pulse,745584,1970
7,Toots & the Maytals,790988,1960
8,Desmond Dekker,819344,1960
9,Prince Jazzbo,855773,1970
10,Tony Rebel,4358,1990
11,Sister Carol,12570,1990
12,Marcia Griffiths,573978,1960
13,King Tubby,93322,1960
14,Alpha Blondy,16944,1980
15,Barrington Levy,138063,1970
16,Gregory Isaacs,160848,1970
17,Peter Tosh,328014,1960
18,Burning Spear,641994,1970
19,Sly & Robbie,751592,1970
20,"Lee ""Scratch"" Perry",785380,1960
21,Junior Murvin,836312,1960
22,Sizzla,20740,1990
23,Shabba Ranks,129817,1980
24,Cocoa Tea,165830,1970
25,Richie Spice,352171,2000
26,Yellowman,681340,1980
27,Ziggy Marley,697350,1970
28,Beenie Man,788508,1970
29,Freddie McGregor,798477,1960
30,Ken Boothe,75295,1960
31,Stephen Marley,24309,2000
32,Rita Marley,173988,1960
33,John Holt,190021,1960
34,Dennis Brown,242861,1970
35,Bunny Wailer,636474,1970
36,Slim Smith,28316,1960
37,Super Cat,33580,1970
38,Horace Andy,218885,1970
39,I-Roy,219334,1970
40,Buju Banton,939187,1990
41,Augustus Pablo,52151,1970
42,Jackie Mittoo,128585,1960
43,The Wailers,923432,1960
44,The Skatalites,425105,1960
45,Bob Andy,57188,1960
46,The Congos,66395,1970
47,Yabby You,683658,1970
48,Bob Marley & the Wailers,69402,1960
49,Big Mountain,70704,1990
50,Third World,494474,1970
51,Israel Vibration,776659,1970
52,Mikey Dread,896965,1970
53,Cornell Campbell,121459,1960
54,Alton Ellis,178889,1950
55,Prince Buster,359494,1960
56,Millie Small,489606,1960
57,Prince Far I,302765,1970
58,Inner Circle,78532,1970
59,Bounty Killer,78758,1990
60,Frankie Paul,169526,1980
61,Wayne Smith,251925,1980
62,Max Romeo,334101,1960
63,Black Uhuru,81683,1970
64,The Heptones,85448,1960
65,Culture,109637,1970
66,The Gaylads,73605,1960
67,The Abyssinians,588943,1970
68,Jah Cure,116465,2000
69,Morgan Heritage,500298,1990
70,Lady Saw,122252,1990
71,Patra,742980,1990
72,Sister Nancy,746407,1980
73,Admiral Bailey,591902,1980
74,Big Youth,762652,1970
75,Josey Wales,826660,1980
76,Spragga Benz,130418,1990
77,Garnett Silk,165068,1980
78,Cutty Ranks,147771,1980
79,Shaggy,156938,1990
80,Ini Kamoze,90011,1980
81,Junior Reid,836313,1980
82,Maxi Priest,866417,1980
83,The Melodians,474648,1960
84,Chaka Demus & Pliers,161436,1980
85,Sugar Minott,574057,1970
86,Johnny Osbourne,248916,1980
87,Easy Star All-Stars,171854,2000
88,Elephant Man,171889,1990
89,Mad Cobra,190235,1980
90,Don Carlos,177957,1970
91,The Pioneers,412134,1960
92,The Uniques,1292549,1960
93,Lord Creator,230784,1960
94,Eric Donaldson,800332,1970
95,Hopeton Lewis,823482,1960
96,The Paragons,893111,1960
97,Sean Paul,264350,1990
98,Foxy Brown,188697,1990
99,Beres Hammond,759668,1970
100,Ernest Ranglin,202187,1950
101,Charlie Chaplin,205627,1980
102,The Silvertones,897783,1960
103,Machel Montano,223683,1980
104,Hugh Mundell,233300,1970
105,Half Pint,663455,1980
106,Diana King,252315,1990
107,Wayne Wonder,254083,1980
108,Capleton,540010,1990
109,Lucky Dube,255268,1990
110,Lord Invader,828740,1940
111,Gyptian,279395,2000
112,Damian Marley,951374,1990
113,Linton Kwesi Johnson,289629,1970
114,Keith Hudson,77306,1970
115,Junior Kelly,302955,2000
116,Scientist,303651,1970
117,Red Rat,382671,1990
118,Collie Buddz,476599,2000
119,Anthony B,487357,1990
120,Zap Pow,694411,1970
121,Hepcat,571472,1990
122,Ziggy Marley & the Melody Makers,600720,1980
123,Tippa Irie,931231,1990
124,The Upsetters,479548,1960
125,The Ethiopians,758920,1960
126,The Techniques,919928,1960
127,Bushman,642354,2000
128,Yami Bolo,683921,1990
129,Snow,753598,1990
130,Clint Eastwood,160428,1970
131,The Maytals,476645,1960
132,Junior Byles,251474,1970
133,Alborosie,921888,2000
134,Musical Youth,935413,1980
135,Mr. Vegas,938487,1990
136,Donovan,1276114,1980
137,Tribal Seeds,1476233,2000
138,Vybz Kartel,261309,2000
139,Popcaan,2518003,2000
140,Tommy Lee,2896351,2000
