,artist_names,id,active_start_years
0,Take 6,155563,1980
1,Sister Rosetta Tharpe,13511,1930
2,Shirley Caesar,32071,1950
3,Tramaine Hawkins,14329,1970
4,Sweet Honey in the Rock,44703,1970
5,Jack Johnson,1416172,1930
6,Amy Grant,24944,1970
7,Debby Boone,814220,1970
8,Smokie Norful,26952,2000
9,Kirk Franklin,83095,1990
10,BeBe & CeCe Winans,152973,1980
11,James Cleveland,668448,1950
12,Andra̩ Crouch,31263,1960
13,Wynona Carr,12802,1940
14,Dorothy Norwood,195368,1940
15,Susan Ashton,32333,1990
16,Steven Curtis Chapman,44068,1980
17,Keith Green,79392,1960
18,Michael W. Smith,466759,1980
19,Petra,325443,1970
20,dc Talk,946560,1980
21,Avalon,62455,1970
22,Larry Norman,132579,1960
23,Phil Keaggy,847880,1960
24,Commissioned,94658,1980
25,The Winans,576839,1980
26,The Clark Sisters,764636,1960
27,Third Day,590483,1990
28,The Rance Allen Group,338179,1960
29,LaShun Pace,100197,1990
30,Chris Tomlin,100575,1990
31,Mark Harris,281564,1980
32,Michael Card,391285,1980
33,Newsboys,393257,1980
34,Jaci Velasquez,104217,1990
35,Sandi Patty,239655,1970
36,Israel & New Breed,108265,1990
37,Fred Hammond,148305,1980
38,Donnie McClurkin,741380,1990
39,Tye Tribbett,111969,1990
40,Israel Houghton,776576,2000
41,BeBe Winans,127889,1980
42,The Highway Q.C.'s,609966,1940
43,Crystal Lewis,132849,1980
44,The Charioteers,762921,1930
45,Bebo Norman,159312,1990
46,Passion,155170,1990
47,Rich Mullins,344729,1980
48,Caedmon's Call,942624,1990
49,Stacie Orrico,165077,1990
50,Greater Vision,184451,1990
51,Walter Hawkins,227708,1960
52,John P. Kee,230963,1980
53,Dallas Holm,567374,1980
54,Gawvi,3099573,2000
55,CeCe Winans,987922,1980
56,Robert Randolph,288350,2000
57,Matt Redman,321944,1990
58,Natalie Grant,372986,1990
59,Michelle Williams,398020,1990
60,Yolanda Adams,690718,1980
61,Lecrae,403784,2000
62,Men of Standard,354631,1990
63,TobyMac,510885,1980
64,Audio Adrenaline,760389,1980
65,Carman,796914,1970
66,Albertina Walker,515750,1960
67,Skillet,749571,1990
68,4Him,572105,1990
69,The Edwin Hawkins Singers,178135,1960
70,The Brooklyn Tabernacle Choir,626115,1970
71,Daryl Coley,674937,1970
72,Hezekiah Walker,675728,1990
73,Vickie Winans,201667,1980
74,Brandon Heath,701790,2000
75,Casting Crowns,802382,1990
76,Twila Paris,803533,1980
77,Deitrick Haddon,814530,1990
78,Vanessa Bell Armstrong,838884,1980
79,Mary Mary,860985,1990
80,MercyMe,870809,1990
81,Russ Taff,212810,1980
82,The Whites,921554,1970
83,Mandisa,939871,2000
84,Trin-i-tee 5:7,1563731,1990
85,Elevation Worship,1944458,2000
86,Travis Greene,2114297,2000
87,Rend Collective,2120504,2000
88,Jonathan McReynolds,2571020,2010
