,artist_names,id,active_start_years
0,Andrew Lloyd Webber,3595,1960
1,Jule Styne,304458,1930
2,Stephen Sondheim,691807,1950
3,John Barry,327765,1950
4,Harold Arlen,60306,1930
5,Ennio Morricone,798662,1950
6,Julie Andrews,314113,1940
7,Steve Jablonsky,31158,2000
8,Nino Rota,416785,1950
9,Angelo Badalamenti,41431,1970
10,Bernard Herrmann,760240,1930
11,Sutton Foster,45941,1990
12,Maurice Jarre,333643,1950
13,Michael Crawford,456896,1950
14,James Horner,150530,1970
15,Patrick Doyle,91312,1990
16,John Williams,232480,1950
17,Marvin Hamlisch,167399,1960
18,Carter Burwell,149173,1980
19,Clint Mansell,133988,1990
20,Jerry Goldsmith,330634,1950
21,Elmer Bernstein,175087,1950
22,Franz Waxman,170330,1930
23,Eric Serra,188809,1970
24,Alfred Newman,2130,1930
25,Mary Martin,40695,1930
26,Howard Shore,278644,1960
27,Frank Loesser,11028,1930
28,Pierre Bachelet,312464,1980
29,MiklÃ³s RÃ³zsa,583723,1930
30,Leonard Rosenman,818366,1970
31,Manos Hadjidakis,163835,1950
32,Brian Tyler,519954,2000
33,Danny Elfman,569119,1970
34,Trevor Jones,747028,1970
35,Stephen Schwartz,750146,1970
36,Richard Adler,758661,1950
37,Klaus Badelt,773615,2000
38,James Newton Howard,786126,1970
39,Dory Previn,800492,1950
40,Michael Nyman,887513,1970
41,Michael Giacchino,887990,1990
42,Hans Zimmer,961427,1970
43,Geoff Zanelli,912566,2000
44,Thomas Newman,923497,1980
45,Alan Silvestri,931869,1970
46,Mychael Danna,936521,1980
47,Georges Delerue,944643,1950
48,Christopher Tin,1435165,2000
49,Jeremy Soule,2596970,1990
