,artist_names,id,active_start_years
0,Jo Stafford,112017,1930
1,Frank Sinatra,792507,1930
2,Nina Simone,411761,1950
3,Tony Bennett,6334,1940
4,Paolo Conte,5980,1970
5,Ã‰dith Piaf,150629,1930
6,Yves Montand,695189,1940
7,Charles Aznavour,804476,1930
8,Billie Holiday,79016,1930
9,Billy Eckstine,82584,1930
10,Joe Mooney,172642,1950
11,Ella Fitzgerald,184502,1930
12,Sarah Vaughan,204901,1940
13,Johnny Hartman,212612,1950
14,Joe Williams,213590,1930
15,Johnny Mercer,244406,1930
16,The Four Freshmen,71336,1940
17,Jacques Brel,121590,1950
18,Bob Dorough,67528,1950
19,Helen Reddy,674150,1960
20,Ella Mae Morse,797881,1940
21,Eddie Fisher,140176,1940
22,Patti Page,747506,1940
23,Kay Starr,857203,1930
24,Andy Williams,38466,1940
25,Teresa Brewer,17882,1940
26,Eartha Kitt,162930,1940
27,Carmen McRae,185948,1940
28,Dinah Washington,260038,1940
29,Nancy Wilson,368367,1950
30,Shirley Bassey,29867,1950
31,Patti LuPone,17937,1960
32,Ethel Merman,171728,1930
33,Liza Minnelli,273531,1940
34,Bette Midler,53739,1970
35,Engelbert Humperdinck,98081,1950
36,Pat Boone,131681,1950
37,Peter Allen,314155,1950
38,Mel TormÃ©,344275,1930
39,Steve Lawrence,753985,1950
40,Slim Gaillard,750203,1930
41,Doris Day,189644,1930
42,"Oscar Brown, Jr.",894827,1960
43,Peggy Lee,256349,1940
44,Anita O'Day,479028,1940
45,Keely Smith,495784,1950
46,Lena Horne,815575,1930
47,Maxine Sullivan,395819,1930
48,The Four Aces,57488,1950
49,The Ink Spots,82831,1930
50,The Mills Brothers,403120,1930
51,Johnny Mathis,246885,1950
52,Perry Como,315336,1930
53,Steve Tyrell,37197,1960
54,Allan Jones,3413,1930
55,Eydie Gorme,128249,1950
56,Frankie Laine,142178,1930
57,Vic Damone,205254,1940
58,Dean Martin,813392,1940
59,Johnnie Ray,816896,1950
60,Marilyn Monroe,266916,1940
61,Bernadette Peters,48816,1950
62,The Ames Brothers,46184,1940
63,Susannah McCorkle,47134,1970
64,Margaret Whiting,571845,1940
65,Blossom Dearie,758601,1960
66,June Christy,837592,1930
67,Debbie Reynolds,233035,1940
68,Julie London,247966,1940
69,Nana Mouskouri,368451,1950
70,Marlene Dietrich,847735,1930
71,Barbra Streisand,855531,1950
72,Betty Carter,48908,1940
73,Sarah Brightman,293490,1970
74,Carmen Miranda,181694,1930
75,"Harry Connick, Jr.",949259,1970
76,The Andrews Sisters,43499,1930
77,Rosemary Clooney,345734,1940
78,Betty Buckley,58360,1970
79,The Lettermen,80428,1950
80,Jon Lucien,254535,1970
81,The Ravens,490763,1940
82,Bill Henderson,64830,1950
83,Dick Haymes,253457,1930
84,Michael Ball,64954,1980
85,The Modernaires,476356,1940
86,The Pied Pipers,483334,1940
87,Il Divo,71636,2000
88,Ivie Anderson,111934,1930
89,Bobby Short,77560,1950
90,King Pleasure,77662,1940
91,Slim & Slam,749272,1930
92,Cassandra Wilson,197460,1980
93,Al Jarreau,606283,1960
94,Harry Belafonte,952794,1940
95,Ed Ames,172772,1940
96,Jerry Vale,338887,1950
97,Al Martino,509367,1940
98,Julio Iglesias,102985,1960
99,Bobby Vinton,766066,1950
100,Jack Jones,778363,1950
101,Robert Goulet,832341,1950
102,Lani Hall,103460,1970
103,Kristin Chenoweth,108249,1990
104,Mitzi Gaynor,922811,1950
105,Helen Ward,954694,1930
106,Charles TrÃ©net,197532,1930
107,Jeanne Moreau,814340,1960
108,Jackie Paris,127766,1950
109,Stacey Kent,160742,1990
110,Al Bowlly,608166,1930
111,Mario Lanza,228714,1940
112,JosÃ© Feliciano,271113,1960
113,Annie Ross,590265,1950
114,Abbey Lincoln,487535,1950
115,Victor Young,959775,1930
116,Jeri Southern,324819,1950
117,Little Jimmy Scott,769876,1950
118,Martha Raye,366889,1930
119,Helen Forrest,673360,1940
120,Helen O'Connell,954646,1940
121,Madeleine Peyroux,193594,1990
122,Dorothy Loudon,196200,1950
123,Della Reese,196544,1950
124,Ernestine Anderson,200777,1940
125,Jon Hendricks,212200,1950
126,Dianne Reeves,211570,1980
127,Michael Franks,392299,1970
128,Jane Olivor,219287,1970
129,Anita Bryant,480472,1950
130,Kitty Kallen,99198,1940
131,Wayne Newton,252495,1960
132,Helen Merrill,568368,1940
133,Lee Wiley,813485,1930
134,Diane Schuur,256482,1970
135,Dinah Shore,260007,1930
136,Peter Knight,272713,1930
137,Kay Thompson,369389,1930
138,Josh Groban,275335,2000
139,Mandy Patinkin,672269,1970
140,Linda Eder,295976,1980
141,Mitch Miller & the Sing-Along Gang,921384,1950
142,Buddy Clark,642427,1930
143,Karen Akers,356422,1980
144,Vikki Carr,806991,1960
145,Rachelle Ferrell,385766,1970
146,Gene Kelly,802791,1930
147,Anthony Newley,754219,1940
148,Buddy Greco,638960,1940
149,The Manhattan Transfer,674749,1960
150,Daniel O'Donnell,677089,1980
151,Matt Monro,382734,1950
152,Bobby McFerrin,768367,1970
153,Idina Menzel,769638,1990
154,Pearl Bailey,38100,1940
155,Kurt Elling,777054,1990
156,LÃ©o FerrÃ©,243777,1940
157,Jane Monheit,809900,2000
158,Bob Eberly,762618,1950
159,Marlena Shaw,847756,1960
160,ReneÃ© Olstead,885298,1990
161,Michael BublÃ©,885569,1990
