流派,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Vocal
Avant-Garde,1,0.120464533,0.090248968,0.448538567,-0.025233593,-0.042927338,0.387594686,-0.067772786,0.300070137,0.14144301,0.350192383,-0.069189952,0.457684279,-0.135322065,-0.071933624,-0.151996075,0.020288558,0.413404568,0.292372313
Blues,0.120464533,1,0.300439589,0.126945354,0.081942907,0.115613848,0.19777466,-0.144006314,0.264903151,0.144178514,0.16409638,0.068841256,0.06229924,-0.098857698,0.033623498,0.089370776,-0.061244944,0.102815946,0.233849987
Children's,0.090248968,0.300439589,1,0.126143009,0.214556629,0.20003641,0.180880878,-0.247972682,0.370835822,0.178235527,0.099377921,0.117147487,-0.029643019,-0.116579749,0.071770619,0.144824188,-0.020860579,0.116758175,0.372488015
Classical,0.448538567,0.126945354,0.126143009,1,0.030469346,-0.058097036,0.530589251,-0.148680201,0.412253095,0.147695912,0.405280948,-0.135069488,0.577388782,-0.158083163,-0.14690011,-0.295129271,0.061596915,0.590374607,0.445628564
Comedy/Spoken,-0.025233593,0.081942907,0.214556629,0.030469346,1,-0.071223818,0.002108012,-0.067760618,0.075856105,0.047604501,0.030625812,-0.026027704,-0.041202575,-0.079827323,-0.000196753,0.12003557,0.048845004,0.016518276,0.155230575
Country,-0.042927338,0.115613848,0.20003641,-0.058097036,-0.071223818,1,0.005738142,-0.118238407,0.119542517,0.045591591,-0.06428336,0.093724224,-0.144046573,0.012066124,0.053548871,0.062942235,-0.020395339,-0.056465417,0.089027948
Easy Listening,0.387594686,0.19777466,0.180880878,0.530589251,0.002108012,0.005738142,1,-0.183846304,0.415297747,0.155604442,0.384293852,-0.092507896,0.471145569,-0.146165117,-0.129863826,-0.238667091,-0.003556229,0.49341693,0.419311252
Electronic,-0.067772786,-0.144006314,-0.247972682,-0.148680201,-0.067760618,-0.118238407,-0.183846304,1,-0.238501654,-0.065255771,-0.045720183,-0.011755966,-0.022542375,0.040257114,0.034029659,0.069706279,-0.004839236,-0.148704898,-0.261470035
Folk,0.300070137,0.264903151,0.370835822,0.412253095,0.075856105,0.119542517,0.415297747,-0.238501654,1,0.188629686,0.280342835,0.000539018,0.294986924,-0.146527521,-0.042932623,-0.090620805,0.001013094,0.395946434,0.464134478
International,0.14144301,0.144178514,0.178235527,0.147695912,0.047604501,0.045591591,0.155604442,-0.065255771,0.188629686,1,0.160890256,0.03731921,0.125520606,-0.087771528,0.028483846,0.056819108,-0.021095478,0.122175089,0.168456156
Jazz,0.350192383,0.16409638,0.099377921,0.405280948,0.030625812,-0.06428336,0.384293852,-0.045720183,0.280342835,0.160890256,1,-0.052040034,0.435724259,-0.159109521,-0.052662469,-0.072593194,-0.032910469,0.35353902,0.258816743
Latin,-0.069189952,0.068841256,0.117147487,-0.135069488,-0.026027704,0.093724224,-0.092507896,-0.011755966,0.000539018,0.03731921,-0.052040034,1,-0.157708317,-0.007213147,0.10446768,0.173175197,-0.050519593,-0.143607763,-0.025517719
New Age,0.457684279,0.06229924,-0.029643019,0.577388782,-0.041202575,-0.144046573,0.471145569,-0.022542375,0.294986924,0.125520606,0.435724259,-0.157708317,1,-0.1458922,-0.145123885,-0.277793492,0.049414881,0.554578188,0.295324472
Pop/Rock,-0.135322065,-0.098857698,-0.116579749,-0.158083163,-0.079827323,0.012066124,-0.146165117,0.040257114,-0.146527521,-0.087771528,-0.159109521,-0.007213147,-0.1458922,1,-0.008351945,-0.028491909,0.022680736,-0.137755893,-0.148524006
R&B;,-0.071933624,0.033623498,0.071770619,-0.14690011,-0.000196753,0.053548871,-0.129863826,0.034029659,-0.042932623,0.028483846,-0.052662469,0.10446768,-0.145123885,-0.008351945,1,0.192016515,-0.037327452,-0.157386938,-0.065207938
Reggae,-0.151996075,0.089370776,0.144824188,-0.295129271,0.12003557,0.062942235,-0.238667091,0.069706279,-0.090620805,0.056819108,-0.072593194,0.173175197,-0.277793492,-0.028491909,0.192016515,1,-0.084307538,-0.317370792,-0.131223417
Religious,0.020288558,-0.061244944,-0.020860579,0.061596915,0.048845004,-0.020395339,-0.003556229,-0.004839236,0.001013094,-0.021095478,-0.032910469,-0.050519593,0.049414881,0.022680736,-0.037327452,-0.084307538,1,0.065053186,0.029654155
Stage & Screen,0.413404568,0.102815946,0.116758175,0.590374607,0.016518276,-0.056465417,0.49341693,-0.148704898,0.395946434,0.122175089,0.35353902,-0.143607763,0.554578188,-0.137755893,-0.157386938,-0.317370792,0.065053186,1,0.429439641
Vocal,0.292372313,0.233849987,0.372488015,0.445628564,0.155230575,0.089027948,0.419311252,-0.261470035,0.464134478,0.168456156,0.258816743,-0.025517719,0.295324472,-0.148524006,-0.065207938,-0.131223417,0.029654155,0.429439641,1
