"artist_name","artist_id","danceability","energy","valence","tempo","loudness","mode","key","acousticness"
"Frank Sinatra","792507","4.1098","1.16366","5.29116","-5.24926","6.55538","1.4733","13.1701","-2.55709"
"Vladimir Horowitz","119107","7.62386","-0.0755812","4.06101","-4.391","6.18691","-0.844245","11.3587","-1.27979"
"Johnny Cash","816890","2.13198","2.54862","4.45278","-3.28003","4.20704","1.09858","11.308","-1.4714"
"Billie Holiday","79016","3.91136","2.37519","4.43134","-3.76436","5.09255","0.865491","10.4503","-1.91498"
"Bob Dylan","66915","1.98348","1.02931","4.48707","-3.59965","4.85141","0.574242","10.9861","-1.33151"
"The Rolling Stones","894465","0.618099","0.919801","4.11334","-4.04086","6.03121","-0.704012","9.68651","-1.33849"
"The Beach Boys","41874","1.36981","1.54343","3.69348","-4.06239","3.50965","0.583005","10.1372","-1.46578"
"Elvis Presley","180228","2.56296","1.85562","4.19762","-3.87899","5.66104","0.26216","8.72941","-2.0819"
"Wolfgang Amadeus Mozart","26350","6.03977","-0.0480319","3.29785","-2.97702","3.7437","-0.0453712","9.3858","-0.619445"
"Miles Davis","423829","3.58697","-0.268341","2.11943","-1.63117","5.38942","-1.08627","8.58579","-2.40655"
"Ella Fitzgerald","184502","3.67322","1.07897","3.78655","-3.49473","5.02794","0.537137","7.34865","-1.91463"
"Dean Martin","813392","3.72053","1.75024","3.42544","-3.4362","3.28115","1.14935","8.15898","-1.71051"
"Queen","858827","1.13145","0.223497","3.69172","-3.29623","4.8836","0.366339","7.87647","-1.28788"
"Lata Mangeshkar","132940","3.85825","1.92109","4.06893","-3.04475","4.20497","-0.981228","7.70574","-1.30059"
"Glenn Gould","803752","5.6913","0.830211","2.52746","-3.19352","2.61072","-0.939517","8.2345","-0.706835"
"The Beatles","754032","0.653863","1.15421","3.07634","-3.5415","5.11098","0.179366","7.13445","-1.70121"
"Fleetwood Mac","182900","1.233","1.07861","2.67357","-2.68293","3.02531","0.48226","8.30859","-0.548474"
"Led Zeppelin","139026","0.66157","-0.589158","2.33619","-2.56644","4.22507","-0.205236","6.27253","-0.364995"
"Bob Marley & the Wailers","69402","-0.263707","1.60469","2.41988","-0.539487","2.68009","0.492969","6.41488","0.121697"
"Nina Simone","411761","2.64388","0.552134","2.71492","-1.8189","1.7337","1.22346","5.59963","-0.740251"
"Elton John","796734","0.579338","0.359251","2.18576","-2.51616","3.83757","-0.395262","4.76287","-0.798949"
"Stevie Wonder","622805","1.05048","1.10954","1.89262","-2.14107","3.57172","-0.163133","4.60426","-0.618459"
"Marvin Gaye","316834","0.999598","0.703395","1.41033","-1.05171","3.44334","-1.12497","5.10501","-2.55361"
"Leonard Bernstein","239859","5.29517","-0.945062","2.3264","-1.56039","2.26714","-0.152655","4.99017","-0.122705"
"The Who","577627","0.183129","-0.0457261","2.56947","-2.33189","2.88464","-0.423216","4.51501","-0.634545"
"Willie Nelson","583959","1.97911","1.2701","2.11523","-2.18536","2.97446","0.328549","4.15814","-1.10926"
"Grateful Dead","988440","1.19155","0.384645","2.01303","-1.07991","1.79858","0.120895","5.61471","0.479957"
"John Coltrane","175553","2.95596","-0.261607","1.60599","-1.63792","3.71499","-0.757972","4.31838","0.0913887"
"Thelonious Monk","490416","3.69141","0.364767","1.31819","-1.58006","2.15658","-0.468006","4.58046","-0.0428863"
"Vicente FernÃ¡ndez","197424","0.931309","0.841511","2.17094","-2.10774","1.83068","1.11385","4.51928","-0.910946"
"Oscar Peterson","489316","5.23774","0.811248","1.22523","-1.90854","2.83554","-1.21946","3.70189","-0.480431"
"Metallica","446509","-0.622934","-2.35031","2.47191","-1.44269","2.88066","-0.224231","4.59796","0.340732"
"U2","219203","0.0154111","-0.818437","1.93028","-1.77786","1.56248","0.494017","4.62667","-0.0818745"
"David Bowie","531986","0.463452","0.226594","1.73509","-2.08519","3.21657","-0.329492","3.42591","-0.69585"
"Waylon Jennings","200791","1.27998","1.56706","1.8871","-1.89922","2.54185","-0.165426","3.60872","-0.726023"
"The Kinks","100160","-0.179356","1.13144","1.85239","-1.94998","1.40848","0.16178","4.3234","-0.382613"
"Red Hot Chili Peppers","883318","-1.1539","-0.0783927","1.47643","-1.97141","3.60889","-0.0602219","3.41409","-0.478118"
"Javier SolÃ­s","216348","2.55985","1.25135","2.62685","-2.24261","2.57412","0.0918829","2.96078","-1.35955"
"Aretha Franklin","927555","1.41123","1.12785","2.30876","-1.7602","2.95893","-0.191514","3.16712","-0.92651"
"Doris Day","189644","3.86818","0.968054","2.49424","-2.29762","2.45867","0.351308","2.74093","-1.55611"
"George Strait","944084","0.487252","1.25851","1.12083","-1.76632","1.21008","0.958305","4.27451","-0.470968"
"Van Morrison","307461","0.84292","0.712109","1.52367","-1.27914","1.70158","0.39868","4.13714","-0.022732"
"Pink Floyd","346336","2.06193","-1.64412","1.71083","-1.15555","1.87249","0.8503","3.95619","-0.0157231"
"Taylor Swift","472102","-0.952594","0.102524","0.626004","-1.72105","2.1435","1.28014","3.7624","-0.408005"
"Sam Cooke","238115","1.43824","1.04051","2.43465","-1.49185","1.10791","0.850438","3.5268","-0.75139"
"Billy Joel","85915","0.233237","0.327302","1.84237","-1.6365","3.05884","-0.277705","2.92207","-0.533108"
"Eric Clapton","187478","0.607122","0.51977","1.83148","-0.804364","1.54655","0.0951437","3.92955","0.316447"
"Kiss","84209","-0.887171","-0.252265","2.6435","-1.57833","2.48209","-0.637852","3.01144","-0.44016"
"Sarah Vaughan","204901","3.38224","0.420237","2.18953","-1.58458","0.272511","1.60956","3.58456","-0.814734"
"John Williams","232480","5.11197","-1.53642","0.730383","-1.99234","2.18678","0.0489819","2.61831","-0.625961"
"John Williams","1535255","5.11197","-1.53642","0.730383","-1.99234","2.18678","0.0489819","2.61831","-0.625961"
"Talking Heads","131650","-0.501569","1.28149","1.50603","-1.07942","2.56177","-0.946485","3.36717","0.251046"
"Nat King Cole","317093","2.92503","0.900506","1.96938","-2.10972","2.40577","0.288036","2.2745","-1.32874"
"Jimmy Buffett","350840","0.855076","1.53431","1.11798","-1.32722","1.30329","0.224828","3.66175","-0.162258"
"Michael Jackson","467203","-0.928478","0.947209","0.656286","-0.684926","1.16083","1.01083","4.24914","0.45775"
"Charles Mingus","9680","3.43398","-0.356038","1.37812","-0.78296","1.76876","-0.281259","3.46078","0.537597"
"The Cure","137390","-0.0651667","0.021652","1.0519","-1.30106","0.721764","-0.366905","4.01717","0.463481"
"Genesis","199995","0.99803","-0.982559","1.30701","-1.12349","1.31397","0.359682","3.33285","0.408686"
"Bill Evans Trio","781423","4.88188","-0.980852","0.10492","0.164391","2.35991","-1.50541","2.87285","-1.71999"
"R.E.M.","325459","-0.335581","0.130104","1.32455","-2.10646","1.72393","-0.887426","2.562","-0.395061"
"Otis Redding","414251","0.73759","1.54385","1.29195","-1.24184","0.369237","0.555547","3.18739","-0.439201"
"Bruce Springsteen","530745","0.0122719","-0.52384","2.05314","-0.965765","1.65387","0.330617","2.86383","-0.0392602"
"The Moody Blues","404434","1.57762","-0.659153","1.55326","-1.39942","0.414904","0.716947","3.23058","0.00412159"
"Asha Bhosle","615026","2.46694","1.71014","2.76214","-0.274519","1.25846","-0.968965","2.42801","-0.235904"
"Eagles","144847","0.132991","0.00874088","1.43507","-0.846567","1.37262","0.701186","3.03884","0.155056"
"Peggy Lee","256349","2.6354","1.77256","1.51978","-1.29619","0.551805","0.68537","2.60986","-0.73677"
"Nirvana","355142","-0.69477","-0.746837","1.31132","-2.20305","2.13955","-0.277238","2.09185","-0.76051"
"Nirvana","357406","-0.69477","-0.746837","1.31132","-2.20305","2.13955","-0.277238","2.09185","-0.76051"
"Peggy Lee","467749","2.6354","1.77256","1.51978","-1.29619","0.551805","0.68537","2.60986","-0.73677"
"John Prine","814751","1.61751","1.25306","1.231","-1.30477","0.681702","0.357118","2.7664","-0.476095"
"Sonny Rollins","39656","2.64228","0.361365","1.38087","-0.592492","2.47083","-1.39667","2.37973","0.577254"
"James Taylor","204386","1.81255","1.2576","1.14784","-1.36324","2.57768","0.135933","1.82167","-0.711105"
"James Taylor","600069","1.81255","1.2576","1.14784","-1.36324","2.57768","0.135933","1.82167","-0.711105"
"Chet Baker","94210","3.91129","0.366236","0.969126","-1.51142","2.1","-0.651015","1.77414","-0.57172"
"Rush","203008","-0.371028","-1.26341","1.76869","-1.17217","2.16496","-0.758789","2.61409","0.361898"
"Prince","361393","0.161127","0.914984","0.836146","-0.623253","2.69955","-0.59431","2.30541","0.227634"
"AC/DC","574772","-1.53266","-1.20267","1.28903","-1.0984","0.781995","0.400532","3.26459","0.360714"
"Prince","1426748","0.161127","0.914984","0.836146","-0.623253","2.69955","-0.59431","2.30541","0.227634"
"Prince","1589051","0.161127","0.914984","0.836146","-0.623253","2.69955","-0.59431","2.30541","0.227634"
"Ramones","490004","-2.0051","0.0256774","1.98916","-2.26408","-0.615902","-0.759851","3.09703","-0.554649"
"Neil Young","379125","1.21679","0.229243","1.18776","-1.19242","0.878736","0.547917","2.68477","-0.240212"
"Julie London","247966","3.26979","0.599003","1.38314","-1.48017","-0.0626098","1.92447","2.54191","-0.88767"
"Los Tigres del Norte","806336","-0.567697","2.51094","0.904321","-0.289919","0.634446","0.338223","2.95945","0.0202163"
"Stan Getz","742899","3.61391","0.599935","0.804868","-0.88531","1.07438","-0.363192","2.44552","0.161704"
"Green Day","154544","-2.03363","-0.428849","1.57237","-2.13746","1.87326","-0.58697","1.88077","-0.650341"
"Marty Robbins","858710","2.01605","1.60794","1.37046","-1.35485","1.18816","0.386641","1.96098","-0.73908"
"Bill Evans","61912","4.38723","-0.265514","0.300747","-1.08962","2.29366","-0.908491","1.71919","0.119462"
"Bill Evans","74005","4.38723","-0.265514","0.300747","-1.08962","2.29366","-0.908491","1.71919","0.119462"
"Bill Evans","764702","4.38723","-0.265514","0.300747","-1.08962","2.29366","-0.908491","1.71919","0.119462"
"Bee Gees","43714","0.322764","0.642009","0.810417","-0.860339","1.16739","0.862129","2.52166","0.126467"
"Hank Williams, Jr.","117844","0.299995","1.37756","0.776821","-1.38245","1.87758","-0.150471","1.8684","-0.333444"
"Journey","291043","-0.626751","-0.970162","1.8335","-1.68083","1.75885","-0.0680651","1.87229","-0.432921"
"Depeche Mode","239921","0.126961","0.422492","0.921976","-1.21211","2.29209","-1.14868","1.86432","0.144507"
"Wings","956707","0.831641","0.199505","1.69401","-1.06543","1.78722","-0.154661","1.8499","-0.268677"
"Neil Diamond","864209","1.29964","0.442757","1.03716","-1.0688","0.361283","1.16421","2.5529","-0.142604"
"Electric Light Orchestra","163229","0.429187","0.0411288","1.17399","-1.00998","0.372758","0.75754","2.68613","0.0402342"
"Aerosmith","604852","-0.986123","-0.702645","1.24501","-1.22597","0.386232","0.462887","2.87745","0.290526"
"Henry Mancini","678009","3.05027","0.562369","1.07345","-1.83879","1.52255","-0.975461","1.34626","-0.676554"
"Jackie Gleason","781399","4.70786","-1.57159","1.54028","-1.691","0.441634","0.231296","1.787","-0.466774"
"The Clash","75747","-0.699133","0.804529","1.47545","-1.37158","1.90567","-1.27511","1.66405","-0.360386"
"The Byrds","631774","0.454031","0.807897","1.735","-1.72112","1.29099","-0.424291","1.73967","-0.578423"
"George Jones","944310","1.42972","1.4583","1.25328","-1.14482","0.561415","0.80583","2.20877","-0.43793"
"B.B. King","59156","0.900342","1.10644","1.78988","-0.790707","1.70917","-0.302094","1.7813","-0.15994"
"Sublime","486047","-0.745496","0.762148","1.09535","-0.260349","0.741507","1.04154","2.52413","0.148156"
"The Allman Brothers Band","745964","0.843422","-1.10472","1.67802","-0.371541","1.90147","-1.31279","2.26289","1.02348"
"Dolly Parton","175286","1.18979","1.3633","1.04847","-1.36579","1.66999","0.269488","1.41631","-0.740894"
"John Denver","811622","1.95554","0.566871","1.34364","-1.04246","0.563229","1.03852","1.98418","-0.537717"
"Juan Gabriel","240252","0.720958","0.898451","1.09086","-1.10822","1.74221","-0.0945034","1.54223","-0.479615"
"Santana","295756","0.468078","-0.382374","0.709416","-0.859951","0.573321","-0.642141","2.55191","0.626386"
"The Doors","114342","0.538629","0.314105","1.25419","-0.591678","0.257857","0.760701","2.37226","-0.0983376"
"The Weeknd","2674162","-0.774961","-1.00506","-0.242688","0.0437145","2.85505","0.155957","1.74865","-2.52404"
"Dizzy Gillespie","162677","2.35279","0.628115","1.62663","-0.515621","0.593605","-0.779464","2.04426","0.216418"
"Judas Priest","246611","-1.08116","-1.65718","1.80238","-1.06461","0.249639","0.70529","2.54186","0.157161"
"The Isley Brothers","766893","0.19574","0.995199","1.07557","-0.487228","-0.242697","0.479955","2.83923","0.420833"
"The Smiths","899530","-1.24681","-0.114354","1.1942","-1.47944","1.18729","-0.307224","1.95115","-0.161704"
"ABBA","922728","-0.393011","0.793248","0.637376","-1.00386","0.328854","0.532277","2.55952","0.205586"
"Creedence Clearwater Revival","131627","-0.726349","0.666898","0.957291","-1.19741","1.72161","-0.629095","1.73224","-0.0777428"
"Stevie Ray Vaughan","625739","0.14694","-0.761447","1.34686","-0.695276","0.336876","-0.301716","2.64167","0.661627"
"Madonna","237205","-0.545297","0.941832","0.0623466","-0.946125","2.70919","-0.468414","1.47671","0.169032"
