,id,name,year,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count
0,187581,Funkadelic,1960,0.514638095,0.76207619,0.6206857139999999,113.51872379999999,-8.413838095,1,2,0.19608403800000002,0.11218228300000001,0.20919142899999998,0.08205142900000001,298651.4571,33.31428571,105
1,390390,Ohio Players,1950,0.60656,0.58708,0.69528,112.21243999999999,-11.41168,1,0,0.19907120000000003,0.11125980099999999,0.126652,0.084332,309172.24,33.76,50
2,7689,TLC,1990,0.726958333,0.6180416670000001,0.6094166670000001,125.76570829999999,-7.843583333,1,10,0.08402158300000001,0.126880084,0.14097083300000002,0.102770833,257195.5,49.375,48
3,2750,Total,1990,0.73135,0.6441,0.74665,101.29105,-7.6324,0,10,0.15446,0.002694005,0.19457,0.148875,261087.15,45.7,20
4,160690,En Vogue,1990,0.6980625,0.561375,0.64075,129.4559375,-9.0874375,1,5,0.2289375,3.32e-05,0.17838125,0.06950625,296864.9375,45.4375,32
5,208774,Janet Jackson,1970,0.7132479340000001,0.698495868,0.605299174,112.0892231,-8.275198347,1,1,0.235995129,0.067151143,0.203502479,0.061090082999999996,284686.6446,44.47107438,121
6,262255,Mariah Carey,1980,0.572691176,0.55995098,0.41880882399999997,119.6576863,-8.089406862999999,1,7,0.35419696100000003,0.00070136,0.17665343100000003,0.054518627,253607.4657,47.94607843,204
7,319347,R. Kelly,1990,0.705729927,0.5135109489999999,0.543544526,110.2536058,-7.472277372000001,0,1,0.267633285,0.000351571,0.134836496,0.079348905,279772.6277,42.51094891,137
8,376204,Mary J. Blige,1990,0.654178295,0.62855814,0.5981937979999999,109.963,-7.403534884,0,11,0.201313589,0.013543038,0.176493798,0.120082946,278618.9767,47.00775194,129
9,802302,Chaka Khan,1960,0.635179245,0.625632075,0.679113208,111.2903962,-9.916867925,1,4,0.351169811,0.024538395,0.152293396,0.058732075,263914.4057,38.53773585,106
10,820434,Whitney Houston,1980,0.595461538,0.5419,0.44326846200000003,117.0741231,-9.732146154,1,6,0.410909785,0.000717886,0.195238462,0.050478462,270807.5231,50.63846154,130
11,101895,Joe,1990,0.691,0.575392157,0.567333333,108.67168629999999,-6.586470587999999,0,6,0.201217647,0.00035538400000000004,0.16925294100000002,0.098886275,267257.0,49.31372549,51
12,3426,Tank,2000,0.4908,0.4952,0.2632,134.0584,-7.2222,0,9,0.3484,8.359999999999999e-07,0.2846,0.17272,258008.0,51.6,10
13,309458,Screamin' Jay Hawkins,1950,0.5808,0.469533333,0.6826,127.50813329999998,-10.5124,1,5,0.7442,0.034496719,0.279926667,0.07293999999999999,153850.5333,19.8,30
