,id,name,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8
0,475362,Arthur Russell,1.3604,-0.18546600000000002,-0.355511,0.0174301,-0.290526,0.447018,-0.14141600000000001,0.393129
1,3214680,Boyzone,-1.1202,0.194415,-0.322907,-0.9617370000000001,1.15919,-0.195753,-1.18489,-0.429954
2,785773,Laurie Anderson,2.63748,0.626404,-1.21133,0.309363,1.61668,-0.5189090000000001,-0.948794,0.77341
3,594765,Buckethead,-0.00207368,-2.35417,-2.18494,0.89774,-1.2493299999999998,-1.50755,1.219,-0.39488
4,186927,Harold Budd,6.09249,-2.29926,-0.704519,-0.74456,1.1961899999999999,-0.258153,-0.824418,0.160897
5,1098849,Nils Frahm,5.22004,-1.42213,-1.62684,-0.110703,-0.0958497,0.589547,-0.780423,0.21264
6,496525,Moondog,1.80437,0.711886,0.828059,0.359033,-1.15096,-0.499867,0.199302,0.476131
7,750519,Terry Riley,4.9760599999999995,-8.37449,-4.2165099999999995,4.06,2.7120900000000003,-3.7979800000000004,2.70834,7.96835
8,943649,Morton Feldman,8.17815,-2.1621900000000003,-2.06423,1.03653,-1.32441,0.912327,-0.0907391,-1.65917
9,406733,Meredith Monk,5.859319999999999,1.9467299999999998,-0.563551,-0.022640900000000002,-0.144023,1.03049,-1.27946,-0.274952
10,467749,Peggy Lee,2.6354,1.77256,1.51978,-1.29619,0.551805,0.68537,2.60986,-0.73677
