artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored)
['Various Artists'],[258947],0.635,0.11,0.405,85.65,-30.467,0,1,0.35,0,0.383,0.93,0,999827,0,1940,1940,A propos of Le Sacre - Commentary by Igor Stravinsky About the History of a Musical Landmark
['Various Artists'],[258947],0.411,0.0293,0.434,126.52,-17.105,1,0,0.839,2.96E-06,0.154,0.0354,0,83427,0,1949,1949,South Pacific: Dites-Moi
['Various Artists'],[258947],0.232,0.275,0.18,80.77,-12.099,1,0,0.991,0.355,0.0888,0.0357,0,208507,0,1949,1949,South Pacific: This Nearly Was Mine
['Various Artists'],[258947],0.233,0.234,0.104,172.519,-13.441,1,0,0.941,0,0.188,0.0349,0,206560,0,1949,1949,South Pacific: Bali Ha'i
['Various Artists'],[258947],0.227,0.255,0.142,100.048,-12.037,1,5,0.871,0.000221,0.119,0.0354,0,206827,0,1949,1949,South Pacific: Younger Than Springtime
['Various Artists'],[258947],0.446,0.105,0.657,89.318,-15.442,1,7,0.889,0,0.171,0.0459,0,77267,0,1949,1949,South Pacific: You've Got To Be Carefully Taught
['Various Artists'],[258947],0.58,0.237,0.528,158.097,-13.166,1,4,0.819,0,0.413,0.1,0,207733,1,1949,1949,South Pacific: I'm Gonna Wash That Man Right Out-a My Hair
['Various Artists'],[258947],0.716,0.147,0.394,78.423,-14.787,1,10,0.921,0.000164,0.349,0.133,0,122133,0,1949,1949,South Pacific: Honey Bun
['Various Artists'],[258947],0.49,0.12,0.633,85.397,-17.87,1,2,0.959,0.000256,0.112,0.0625,0,212907,0,1949,1949,South Pacific: Act II: Happy Talk
['Various Artists'],[258947],0.662,0.376,0.448,129.915,-11.476,1,4,0.941,1.19E-06,0.15,0.0871,0,216893,0,1949,1949,South Pacific: There is Nothin' Like a Dame
['Various Artists'],[258947],0.285,0.0724,0.0968,168.263,-15.286,1,2,0.906,0.00303,0.102,0.0381,0,146293,0,1949,1949,South Pacific: Twin Soliloquies
['Various Artists'],[258947],0.602,0.22,0.503,99.733,-14.669,1,0,0.925,6.89E-06,0.21,0.0737,0,212427,0,1949,1949,South Pacific: A Wonderful Guy
['Freestyle'],[196370],0.402,0.486,0.298,86.923,-10.941,1,10,0.434,0,0.979,0.0487,0,557987,43,1950,1/1/1950,OPM Medley: When I Met You
['Freestyle'],[196370],0.365,0.348,0.196,126.716,-12.455,1,11,0.516,0,0.461,0.0402,0,804640,26,1950,1/1/1950,M.R.S. Medley
['Freestyle'],[196370],0.51,0.637,0.392,128.311,-8.787,0,1,0.517,0,0.811,0.0471,0,258707,25,1950,1/1/1950,Incomplete
['Freestyle'],[196370],0.592,0.891,0.64,117.338,-7.237,1,7,0.139,1.40E-06,0.977,0.0668,0,305147,24,1950,1/1/1950,Best Of My Love
['Freestyle'],[196370],0.302,0.528,0.151,129.092,-9.093,1,7,0.678,0,0.578,0.0397,0,292000,13,1950,1/1/1950,Bakit ****** Ka Lang
['Freestyle'],[196370],0.56,0.863,0.351,126.083,-8.876,0,5,0.0156,7.81E-06,0.835,0.0829,0,285200,13,1950,1/1/1950,My Love
['Various Artists'],[258947],0.678,0.409,0.749,111.989,-14.811,1,11,0.987,0.00154,0.656,0.0961,0,195867,0,1950,1/1/1950,Omorfi Thessaloniki
['Various Artists'],[258947],0.672,0.305,0.742,103.226,-15.754,1,7,0.995,0.364,0.158,0.0569,0,191400,0,1950,1/1/1950,H alepou
['Various Artists'],[258947],0.466,0.24,0.683,140.061,-17.639,1,1,0.995,0.901,0.22,0.0406,0,220240,0,1950,1/1/1950,Kathe spiti ki enas ponos
['Moti'],[3224219],0.258,0.429,0.571,176.938,-13.939,0,3,0.892,8.15E-05,0.15,0.0388,0,234987,0,1952,12/1/1952,Akalathang Akalath
['Various Artists'],[258947],0.41,0.146,0.249,69.476,-22.803,1,7,0.988,0.924,0.123,0.0601,0,119600,43,1963,9/12/1963,**** Hawaii
['Jean-Jacques Perrey'],[189641],0.647,0.868,0.968,176.583,-9.884,1,1,0.346,0.22,0.0939,0.0643,0,136000,23,1968,1968,The Mexican Cactus
['Jean-Jacques Perrey'],[189641],0.859,0.831,0.986,100.617,-10.117,1,0,0.393,0.424,0.345,0.0791,0,139000,31,1968,1968,The Little Ships
['Jean-Jacques Perrey'],[189641],0.74,0.868,0.982,162.822,-8.535,1,0,0.449,0.814,0.0619,0.0385,0,117000,30,1968,1968,Brazilian Flower
['Jean-Jacques Perrey'],[189641],0.894,0.719,0.934,92.994,-11.74,0,2,0.719,0.88,0.0854,0.0772,0,149000,30,1970,1970,The Elephant Never Forgets
