id,direct_influence_num,indirect_influence_num,different_genre_num,max_year_period,influencer_active_start,score,main_genre
60679,10,629,426,80,1930,0.184814755,Blues
66228,9,207,207,60,1930,0.119572438,Blues
64817,4,51,0,20,1930,0.038646143,Blues
49806,7,815,812,80,1930,0.233616837,Blues
527379,8,190,84,50,1930,0.096920839,Blues
176936,51,1643,1372,80,1930,0.41209202,Blues
276085,99,2701,2349,80,1930,0.669943004,Blues
783025,1,4,4,20,1930,0.036441825,Blues
204714,7,89,12,40,1930,0.07516963,Blues
825208,35,554,297,80,1930,0.202189692,Blues
421122,4,91,79,70,1930,0.121398717,Blues
898336,3,484,484,80,1930,0.177177414,Blues
251210,2,71,45,30,1930,0.055974287,Blues
369270,18,276,253,70,1930,0.148171797,Blues
753094,22,568,177,70,1930,0.165049444,Blues
1006782,8,181,32,30,1930,0.064923168,Blues
3829,48,1259,735,40,1930,0.290939327,Blues
