id,direct_influence_num,indirect_influence_num,different_genre_num,max_year_period,influencer_active_start,score,main_genre
60679,10,629,426,80,1930,0.184814755,Blues
66228,9,207,207,60,1930,0.119572438,Blues
64817,4,51,0,20,1930,0.038646143,Blues
49806,7,815,812,80,1930,0.233616837,Blues
527379,8,190,84,50,1930,0.096920839,Blues
176936,51,1643,1372,80,1930,0.41209202,Blues
276085,99,2701,2349,80,1930,0.669943004,Blues
783025,1,4,4,20,1930,0.036441825,Blues
204714,7,89,12,40,1930,0.07516963,Blues
825208,35,554,297,80,1930,0.202189692,Blues
421122,4,91,79,70,1930,0.121398717,Blues
898336,3,484,484,80,1930,0.177177414,Blues
251210,2,71,45,30,1930,0.055974287,Blues
369270,18,276,253,70,1930,0.148171797,Blues
753094,22,568,177,70,1930,0.165049444,Blues
1006782,8,181,32,30,1930,0.064923168,Blues
3829,48,1259,735,40,1930,0.290939327,Blues
1950198,2,10,10,30,1930,0.054068299,Classical
183867,34,656,619,60,1930,0.217206595,Classical
1528006,3,17,17,40,1930,0.071329889,Classical
278559,2,12,0,60,1930,0.102661308,Comedy/Spoken
744548,20,247,225,50,1930,0.122995378,Comedy/Spoken
46214,1,11,11,40,1930,0.070664151,Country
74970,40,1206,359,20,1930,0.229630585,Country
200775,52,1324,94,40,1930,0.256771665,Country
662800,19,1557,1113,80,1930,0.33229218,Country
549797,184,4138,2470,80,1930,1,Country
269390,3,29,0,40,1930,0.071278706,Country
903609,20,241,19,80,1930,0.152406694,Country
199229,1,5,5,40,1930,0.070554339,Country
314346,6,146,0,80,1930,0.136543662,Country
246022,14,280,181,70,1930,0.139366237,Country
848784,50,1465,208,40,1930,0.271706874,Country
353145,18,246,45,40,1930,0.097775166,Country
193160,15,361,87,40,1930,0.10134233,Country
754767,1,7,0,40,1930,0.070528609,Easy Listening
748088,1,7,0,40,1930,0.070528609,Easy Listening
869487,1,6,0,30,1930,0.053760558,Easy Listening
607804,10,509,420,40,1930,0.135104689,Folk
536754,21,329,116,60,1930,0.134555359,Folk
813092,6,488,404,60,1930,0.149041213,Folk
266160,47,1385,1072,40,1930,0.336765332,Folk
322279,1,47,0,20,1930,0.037111049,Folk
577531,80,2214,1743,80,1930,0.547246884,Folk
404463,21,1293,1291,80,1930,0.334009157,International
230886,2,20,12,20,1930,0.036893587,International
511029,6,67,37,40,1930,0.074276009,Jazz
793227,19,213,0,30,1930,0.08549805,Jazz
769388,1,17,0,40,1930,0.070614607,Jazz
359199,10,376,110,50,1930,0.109987499,Jazz
77698,3,221,0,70,1930,0.123052196,Jazz
634674,3,13,9,20,1930,0.037251138,Jazz
639789,5,19,7,30,1930,0.055751256,Jazz
532957,27,538,408,60,1930,0.17666365,Jazz
166767,3,19,13,60,1930,0.103197494,Jazz
805930,35,734,577,30,1930,0.201438516,Jazz
211758,95,1061,260,70,1930,0.350208676,Jazz
162677,61,1055,437,70,1930,0.288556482,Jazz
172350,15,303,0,60,1930,0.121709506,Jazz
138560,1,7,7,40,1930,0.070588048,Jazz
642664,11,81,15,40,1930,0.079448082,Jazz
