id,direct_influence_num,indirect_influence_num,different_genre_num,max_year_period,influencer_active_start,score,main_genre
608166,2,91,20,70,1930,0.119300058,Vocal
607804,10,509,420,40,1930,0.135104689,Folk
2130,6,89,57,40,1930,0.075397029,Stage & Screen
3413,1,13,0,60,1930,0.102440623,Vocal
754767,1,7,0,40,1930,0.070528609,Easy Listening
591620,1,13,0,40,1930,0.07057732,Latin
511029,6,67,37,40,1930,0.074276009,Jazz
46214,1,11,11,40,1930,0.070664151,Country
793227,19,213,0,30,1930,0.08549805,Jazz
760240,16,127,52,80,1930,0.145066011,Stage & Screen
748088,1,7,0,40,1930,0.070528609,Easy Listening
1950198,2,10,10,30,1930,0.054068299,Classical
60679,10,629,426,80,1930,0.184814755,Blues
66228,9,207,207,60,1930,0.119572438,Blues
64817,4,51,0,20,1930,0.038646143,Blues
79016,106,1834,1313,80,1930,0.525587829,Vocal
82584,33,993,742,50,1930,0.247787723,Vocal
769388,1,17,0,40,1930,0.070614607,Jazz
359199,10,376,110,50,1930,0.109987499,Jazz
49806,7,815,812,80,1930,0.233616837,Blues
74970,40,1206,359,20,1930,0.229630585,Country
77698,3,221,0,70,1930,0.123052196,Jazz
634674,3,13,9,20,1930,0.037251138,Jazz
642427,1,1,0,0,1930,0.000143937,Vocal
527379,8,190,84,50,1930,0.096920839,Blues
639789,5,19,7,30,1930,0.055751256,Jazz
536754,21,329,116,60,1930,0.134555359,Folk
532957,27,538,408,60,1930,0.17666365,Jazz
639697,8,35,23,60,1930,0.10631112,Latin
181694,11,88,88,60,1930,0.111579623,Vocal
804476,19,468,386,80,1930,0.180564959,Vocal
197532,4,89,11,60,1930,0.104707675,Vocal
166767,3,19,13,60,1930,0.103197494,Jazz
805930,35,734,577,30,1930,0.201438516,Jazz
211758,95,1061,260,70,1930,0.350208676,Jazz
942252,12,91,29,60,1930,0.111030504,Latin
955009,1,10,0,40,1930,0.070551882,Latin
253457,2,1,0,30,1930,0.053925592,Vocal
